City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,neyriz,29.1988,54.3278,19.32,31,0,1.81,IR,1698507637
322,tejen,37.3834,60.5054,25.29,25,100,4.07,TM,1698507637
323,port douglas,-16.4833,145.4667,23.5,72,71,5.48,AU,1698507638
324,maceio,-9.6658,-35.7353,30.69,58,75,7.72,BR,1698507397
325,ambon,-3.6954,128.1814,25.49,95,20,4.63,ID,1698507639
326,kulhudhuffushi,6.6221,73.07,28.09,76,90,3.4,MV,1698507639
327,pangai,-19.8,-174.35,23.93,81,65,8.66,TO,1698507640
328,lloydminster,53.2835,-110.0016,-5.88,93,100,4.12,CA,1698507640
329,merizo village,13.2658,144.6691,28.85,95,100,5.52,GU,1698507640
330,mumbwa,-14.9783,27.0619,31.7,19,87,1.16,ZM,1698507641
331,sarankhola,22.3082,89.7897,22.88,67,19,1.15,BD,1698507642
332,selfoss,63.9331,-20.9971,6.14,68,97,3.48,IS,1698507642
333,lautoka,-17.6167,177.4667,22.92,88,20,1.03,FJ,1698507643
334,puerto ayacucho,5.6639,-67.6236,32.28,59,100,2.21,VE,1698507643
335,ancud,-41.8697,-73.8203,8.52,74,97,11.98,CL,1698507643
336,ustyuzhna,58.8394,36.4321,-1.23,96,100,2.43,RU,1698507644
337,zafar,40.9833,68.9,21.75,37,100,1.71,UZ,1698507644
338,moyynkum,44.2914,72.9469,15.44,55,100,1.24,KZ,1698507645
339,caraballeda,10.6112,-66.8522,32.98,62,40,1.54,VE,1698507645
340,kantemirovka,49.7089,39.8592,12.92,60,16,12.71,RU,1698507646
341,honolulu,21.3069,-157.8583,22.93,85,0,2.57,US,1698507429
342,greenville,35.6127,-77.3663,26.01,62,0,2.57,US,1698507495
343,baotou,40.6522,109.8222,12.3,27,10,1.59,CN,1698507647
344,rongelap,11.1635,166.8941,28.21,77,64,5.13,MH,1698507648
345,marka,1.7159,44.7717,27.21,79,25,4.54,SO,1698507648
346,clinton,42.587,-82.9199,13.27,78,75,6.69,US,1698507648
347,mayna,54.1135,47.6231,-0.45,99,100,5.6,RU,1698507649
348,marsh harbour,26.5412,-77.0636,26.14,64,0,9.96,BS,1698507649
349,acajutla,13.5928,-89.8275,29.7,63,80,3.59,SV,1698507650
350,zhanaozen,43.3,52.8,20.51,43,100,2.9,KZ,1698507650
351,eyl,7.9803,49.8164,27.33,76,99,7.35,SO,1698507651
352,kyzyl-suu,42.3414,78.0056,8.26,57,10,2.47,KG,1698507651
353,encruzilhada do sul,-30.5439,-52.5219,20.45,87,100,3.31,BR,1698507494
354,revelstoke,50.9832,-118.2023,-3.99,86,100,0.0,CA,1698507472
